NUTS2_code,process,hour,load
AT34,Heating_and_sanitary_hot_water_residential,1,139.005823323972
AT34,Heating_and_sanitary_hot_water_residential,2,134.940449923335
AT34,Heating_and_sanitary_hot_water_residential,3,130.313096501513
AT34,Heating_and_sanitary_hot_water_residential,4,125.588635432047
AT34,Heating_and_sanitary_hot_water_residential,5,124.730765243886
AT34,Heating_and_sanitary_hot_water_residential,6,124.04197243200501
AT34,Heating_and_sanitary_hot_water_residential,7,130.668358886708
AT34,Heating_and_sanitary_hot_water_residential,8,154.075897277733
AT34,Heating_and_sanitary_hot_water_residential,9,187.35515593507702
AT34,Heating_and_sanitary_hot_water_residential,10,225.430750220808
AT34,Heating_and_sanitary_hot_water_residential,11,231.334052462589
AT34,Heating_and_sanitary_hot_water_residential,12,224.28031969039398
AT34,Heating_and_sanitary_hot_water_residential,13,203.86447049564998
AT34,Heating_and_sanitary_hot_water_residential,14,189.45808950264998
AT34,Heating_and_sanitary_hot_water_residential,15,166.219419114532
AT34,Heating_and_sanitary_hot_water_residential,16,146.39972713835596
AT34,Heating_and_sanitary_hot_water_residential,17,139.536879836725
AT34,Heating_and_sanitary_hot_water_residential,18,148.30163348965098
AT34,Heating_and_sanitary_hot_water_residential,19,164.28453489728997
AT34,Heating_and_sanitary_hot_water_residential,20,169.930805597183
AT34,Heating_and_sanitary_hot_water_residential,21,169.892994031986
AT34,Heating_and_sanitary_hot_water_residential,22,169.698854872472
AT34,Heating_and_sanitary_hot_water_residential,23,161.132883738879
AT34,Heating_and_sanitary_hot_water_residential,24,148.217482230445
AT34,Heating_and_sanitary_hot_water_residential,25,139.970311289191
AT34,Heating_and_sanitary_hot_water_residential,26,130.01724440242202
AT34,Heating_and_sanitary_hot_water_residential,27,125.389852912714
AT34,Heating_and_sanitary_hot_water_residential,28,123.619326576162
AT34,Heating_and_sanitary_hot_water_residential,29,124.730765243886
AT34,Heating_and_sanitary_hot_water_residential,30,127.98053304194599
AT34,Heating_and_sanitary_hot_water_residential,31,133.622274585679
AT34,Heating_and_sanitary_hot_water_residential,32,154.075897277733
AT34,Heating_and_sanitary_hot_water_residential,33,186.370339718618
AT34,Heating_and_sanitary_hot_water_residential,34,211.645607263554
AT34,Heating_and_sanitary_hot_water_residential,35,209.67190248910998
AT34,Heating_and_sanitary_hot_water_residential,36,192.77153026777302
AT34,Heating_and_sanitary_hot_water_residential,37,185.156007813824
AT34,Heating_and_sanitary_hot_water_residential,38,189.45808950264998
AT34,Heating_and_sanitary_hot_water_residential,39,184.927881796358
AT34,Heating_and_sanitary_hot_water_residential,40,185.78552357720199
AT34,Heating_and_sanitary_hot_water_residential,41,195.661696863909
AT34,Heating_and_sanitary_hot_water_residential,42,213.288464088949
AT34,Heating_and_sanitary_hot_water_residential,43,221.393977801502
AT34,Heating_and_sanitary_hot_water_residential,44,208.331785819569
AT34,Heating_and_sanitary_hot_water_residential,45,182.693320772781
AT34,Heating_and_sanitary_hot_water_residential,46,158.867779885732
AT34,Heating_and_sanitary_hot_water_residential,47,145.378603231227
AT34,Heating_and_sanitary_hot_water_residential,48,141.338348715653
AT34,Heating_and_sanitary_hot_water_residential,49,187.65236133153095
AT34,Heating_and_sanitary_hot_water_residential,50,183.713781687646
AT34,Heating_and_sanitary_hot_water_residential,51,179.08642826582403
AT34,Heating_and_sanitary_hot_water_residential,52,175.249523493629
AT34,Heating_and_sanitary_hot_water_residential,53,173.92674286404
AT34,Heating_and_sanitary_hot_water_residential,54,173.40700839449696
AT34,Heating_and_sanitary_hot_water_residential,55,180.413776119459
AT34,Heating_and_sanitary_hot_water_residential,56,204.159431195158
AT34,Heating_and_sanitary_hot_water_residential,57,237.058308582243
AT34,Heating_and_sanitary_hot_water_residential,58,274.711257012131
AT34,Heating_and_sanitary_hot_water_residential,59,279.346621686382
AT34,Heating_and_sanitary_hot_water_residential,60,270.26418880614
AT34,Heating_and_sanitary_hot_water_residential,61,248.495872872697
AT34,Heating_and_sanitary_hot_water_residential,62,233.497787681517
AT34,Heating_and_sanitary_hot_water_residential,63,210.09005895106202
AT34,Heating_and_sanitary_hot_water_residential,64,190.397160731639
AT34,Heating_and_sanitary_hot_water_residential,65,183.914694700266
AT34,Heating_and_sanitary_hot_water_residential,66,193.059829623451
AT34,Heating_and_sanitary_hot_water_residential,67,209.676699814856
AT34,Heating_and_sanitary_hot_water_residential,68,216.80223101019902
AT34,Heating_and_sanitary_hot_water_residential,69,217.947827841364
AT34,Heating_and_sanitary_hot_water_residential,70,218.81030332145698
AT34,Heating_and_sanitary_hot_water_residential,71,209.779421746437
AT34,Heating_and_sanitary_hot_water_residential,72,196.272316039823
AT34,Heating_and_sanitary_hot_water_residential,73,216.505115678506
AT34,Heating_and_sanitary_hot_water_residential,74,209.6260202316
