NUTS2_code,process,hour,load
BE35,Heating_and_sanitary_hot_water_residential,1,181.380133314545
BE35,Heating_and_sanitary_hot_water_residential,2,167.863240269053
BE35,Heating_and_sanitary_hot_water_residential,3,161.773226828796
BE35,Heating_and_sanitary_hot_water_residential,4,155.143758286988
BE35,Heating_and_sanitary_hot_water_residential,5,148.184490389981
BE35,Heating_and_sanitary_hot_water_residential,6,146.75370796174602
BE35,Heating_and_sanitary_hot_water_residential,7,145.68994754878
BE35,Heating_and_sanitary_hot_water_residential,8,155.165775841741
BE35,Heating_and_sanitary_hot_water_residential,9,189.121607901452
BE35,Heating_and_sanitary_hot_water_residential,10,237.625330200486
BE35,Heating_and_sanitary_hot_water_residential,11,293.230260299413
BE35,Heating_and_sanitary_hot_water_residential,12,302.122570723727
BE35,Heating_and_sanitary_hot_water_residential,13,292.430052974259
BE35,Heating_and_sanitary_hot_water_residential,14,263.44134435737703
BE35,Heating_and_sanitary_hot_water_residential,15,243.05907128875702
BE35,Heating_and_sanitary_hot_water_residential,16,209.26024594929797
BE35,Heating_and_sanitary_hot_water_residential,17,180.645150536404
BE35,Heating_and_sanitary_hot_water_residential,18,170.45732342525
BE35,Heating_and_sanitary_hot_water_residential,19,182.95197221323798
BE35,Heating_and_sanitary_hot_water_residential,20,205.866232043844
BE35,Heating_and_sanitary_hot_water_residential,21,213.393757389005
BE35,Heating_and_sanitary_hot_water_residential,22,212.71881528534198
BE35,Heating_and_sanitary_hot_water_residential,23,212.37389379759603
BE35,Heating_and_sanitary_hot_water_residential,24,199.86406756188202
BE35,Heating_and_sanitary_hot_water_residential,25,171.38429320556298
BE35,Heating_and_sanitary_hot_water_residential,26,169.264705652249
BE35,Heating_and_sanitary_hot_water_residential,27,154.619480633162
BE35,Heating_and_sanitary_hot_water_residential,28,147.989956776175
BE35,Heating_and_sanitary_hot_water_residential,29,145.32295319110202
BE35,Heating_and_sanitary_hot_water_residential,30,146.75370796174602
BE35,Heating_and_sanitary_hot_water_residential,31,151.412938973769
BE35,Heating_and_sanitary_hot_water_residential,32,159.458012496086
BE35,Heating_and_sanitary_hot_water_residential,33,189.121607901452
BE35,Heating_and_sanitary_hot_water_residential,34,236.194326511534
BE35,Heating_and_sanitary_hot_water_residential,35,273.199527564849
BE35,Heating_and_sanitary_hot_water_residential,36,270.646021084724
BE35,Heating_and_sanitary_hot_water_residential,37,246.645679052912
BE35,Heating_and_sanitary_hot_water_residential,38,236.256699481642
BE35,Heating_and_sanitary_hot_water_residential,39,243.05907128875702
BE35,Heating_and_sanitary_hot_water_residential,40,236.44489082503296
BE35,Heating_and_sanitary_hot_water_residential,41,237.87534136219105
BE35,Heating_and_sanitary_hot_water_residential,42,252.010428324765
BE35,Heating_and_sanitary_hot_water_residential,43,277.382174282042
BE35,Heating_and_sanitary_hot_water_residential,44,288.850064056414
BE35,Heating_and_sanitary_hot_water_residential,45,269.19294452584
BE35,Heating_and_sanitary_hot_water_residential,46,231.318544330953
BE35,Heating_and_sanitary_hot_water_residential,47,196.635618978094
BE35,Heating_and_sanitary_hot_water_residential,48,176.972046546747
BE35,Heating_and_sanitary_hot_water_residential,49,199.52014013692101
BE35,Heating_and_sanitary_hot_water_residential,50,186.21295815295898
BE35,Heating_and_sanitary_hot_water_residential,51,180.12294471270303
BE35,Heating_and_sanitary_hot_water_residential,52,173.336192874747
BE35,Heating_and_sanitary_hot_water_residential,53,166.58663603927
BE35,Heating_and_sanitary_hot_water_residential,54,165.155853611035
BE35,Heating_and_sanitary_hot_water_residential,55,164.092093198069
BE35,Heating_and_sanitary_hot_water_residential,56,173.777632552561
BE35,Heating_and_sanitary_hot_water_residential,57,207.576181316123
BE35,Heating_and_sanitary_hot_water_residential,58,256.027475849775
BE35,Heating_and_sanitary_hot_water_residential,59,311.789689244849
BE35,Heating_and_sanitary_hot_water_residential,60,320.57714413839904
BE35,Heating_and_sanitary_hot_water_residential,61,310.779770858166
BE35,Heating_and_sanitary_hot_water_residential,62,281.686206710518
BE35,Heating_and_sanitary_hot_water_residential,63,261.251505876516
BE35,Heating_and_sanitary_hot_water_residential,64,227.400252771674
BE35,Heating_and_sanitary_hot_water_residential,65,198.78515735878003
BE35,Heating_and_sanitary_hot_water_residential,66,188.649758013008
BE35,Heating_and_sanitary_hot_water_residential,67,201.196834566379
BE35,Heating_and_sanitary_hot_water_residential,68,223.79652780469
BE35,Heating_and_sanitary_hot_water_residential,69,231.428908680615
BE35,Heating_and_sanitary_hot_water_residential,70,231.016105403866
BE35,Heating_and_sanitary_hot_water_residential,71,230.933322743033
BE35,Heating_and_sanitary_hot_water_residential,72,218.056502149641
BE35,Heating_and_sanitary_hot_water_residential,73,190.306173363191
BE35,Heating_and_sanitary_hot_water_residential,74,165.11411546307
BE35,Heating_and_sanitary_hot_water_residential,75,154.961047373119
BE35,Heating_and_sanitary_hot_water_residential,76,149.624537843482
BE35,Heating_and_sanitary_hot_water_residential,77,152.523270044839
BE35,Heating_and_sanitary_hot_water_residential,78,159.814811998947
BE35,Heating_and_sanitary_hot_water_residential,79,188.777375511219
BE35,Heating_and_sanitary_hot_water_residential,80,234.022017755118
BE35,Heating_and_sanitary_hot_water_residential,81,260.719358718788
BE35,Heating_and_sanitary_hot_water_residential,82,254.958923373014
BE35,Heating_and_sanitary_hot_water_residential,83,229.01102514832198
BE35,Heating_and_sanitary_hot_water_residential,84,211.03381044099098
BE35,Heating_and_sanitary_hot_water_residential,85,201.65585928381802
BE35,Heating_and_sanitary_hot_water_residential,86,195.663640006581
BE35,Heating_and_sanitary_hot_water_residential,87,193.671384922042
BE35,Heating_and_sanitary_hot_water_residential,88,187.214598384825
BE35,Heating_and_sanitary_hot_water_residential,89,181.334296006098
BE35,Heating_and_sanitary_hot_water_residential,90,176.869487977522
BE35,Heating_and_sanitary_hot_water_residential,91,198.000816578865
BE35,Heating_and_sanitary_hot_water_residential,92,213.603880972151
BE35,Heating_and_sanitary_hot_water_residential,93,232.47292084277998
BE35,Heating_and_sanitary_hot_water_residential,94,220.35216183467705
BE35,Heating_and_sanitary_hot_water_residential,95,222.554127980746
BE35,Heating_and_sanitary_hot_water_residential,96,205.751843829971
BE35,Heating_and_sanitary_hot_water_residential,97,199.481032305144
BE35,Heating_and_sanitary_hot_water_residential,98,174.708396528084
BE35,Heating_and_sanitary_hot_water_residential,99,164.345617376602
