NUTS2_code,process,hour,load
HU32,Heating_and_sanitary_hot_water_residential,1,134.635303797066
HU32,Heating_and_sanitary_hot_water_residential,2,130.494696205332
HU32,Heating_and_sanitary_hot_water_residential,3,126.32639531339301
HU32,Heating_and_sanitary_hot_water_residential,4,121.83728987254601
HU32,Heating_and_sanitary_hot_water_residential,5,122.029363690756
HU32,Heating_and_sanitary_hot_water_residential,6,121.04916304644199
HU32,Heating_and_sanitary_hot_water_residential,7,126.710580845877
HU32,Heating_and_sanitary_hot_water_residential,8,147.130357014364
HU32,Heating_and_sanitary_hot_water_residential,9,176.82156900143997
HU32,Heating_and_sanitary_hot_water_residential,10,210.38793273568803
HU32,Heating_and_sanitary_hot_water_residential,11,212.24926535736802
HU32,Heating_and_sanitary_hot_water_residential,12,203.52033207358397
HU32,Heating_and_sanitary_hot_water_residential,13,181.72827008529305
HU32,Heating_and_sanitary_hot_water_residential,14,167.813425142755
HU32,Heating_and_sanitary_hot_water_residential,15,146.22116608339198
HU32,Heating_and_sanitary_hot_water_residential,16,129.401350047188
HU32,Heating_and_sanitary_hot_water_residential,17,125.51619725724
HU32,Heating_and_sanitary_hot_water_residential,18,138.486623978996
HU32,Heating_and_sanitary_hot_water_residential,19,157.55813537324102
HU32,Heating_and_sanitary_hot_water_residential,20,164.64728243698602
HU32,Heating_and_sanitary_hot_water_residential,21,164.930354746849
HU32,Heating_and_sanitary_hot_water_residential,22,165.314578175398
HU32,Heating_and_sanitary_hot_water_residential,23,156.199680075903
HU32,Heating_and_sanitary_hot_water_residential,24,143.792286978494
HU32,Heating_and_sanitary_hot_water_residential,25,125.813516946275
HU32,Heating_and_sanitary_hot_water_residential,26,120.692689762195
HU32,Heating_and_sanitary_hot_water_residential,27,118.48477121085101
HU32,Heating_and_sanitary_hot_water_residential,28,120.8570702802
HU32,Heating_and_sanitary_hot_water_residential,29,124.969946675665
HU32,Heating_and_sanitary_hot_water_residential,30,129.870968845265
HU32,Heating_and_sanitary_hot_water_residential,31,149.255138820996
HU32,Heating_and_sanitary_hot_water_residential,32,180.45710312890202
HU32,Heating_and_sanitary_hot_water_residential,33,202.306672065404
HU32,Heating_and_sanitary_hot_water_residential,34,197.64538120370602
HU32,Heating_and_sanitary_hot_water_residential,35,177.94195858590803
HU32,Heating_and_sanitary_hot_water_residential,36,168.23303308616198
HU32,Heating_and_sanitary_hot_water_residential,37,168.98571855331102
HU32,Heating_and_sanitary_hot_water_residential,38,163.892698357628
HU32,Heating_and_sanitary_hot_water_residential,39,165.825178969666
HU32,Heating_and_sanitary_hot_water_residential,40,177.431200566592
HU32,Heating_and_sanitary_hot_water_residential,41,198.051348104967
HU32,Heating_and_sanitary_hot_water_residential,42,209.061221953839
HU32,Heating_and_sanitary_hot_water_residential,43,197.74615336175097
HU32,Heating_and_sanitary_hot_water_residential,44,174.449099399803
HU32,Heating_and_sanitary_hot_water_residential,45,152.187803214867
HU32,Heating_and_sanitary_hot_water_residential,46,140.809581015587
HU32,Heating_and_sanitary_hot_water_residential,47,138.556106374321
HU32,Heating_and_sanitary_hot_water_residential,48,133.983535035958
HU32,Heating_and_sanitary_hot_water_residential,49,166.140689205754
HU32,Heating_and_sanitary_hot_water_residential,50,162.21988662849898
HU32,Heating_and_sanitary_hot_water_residential,51,157.831780722081
HU32,Heating_and_sanitary_hot_water_residential,52,154.29516367731
HU32,Heating_and_sanitary_hot_water_residential,53,153.314944084965
HU32,Heating_and_sanitary_hot_water_residential,54,152.847621807769
HU32,Heating_and_sanitary_hot_water_residential,55,159.461528003281
HU32,Heating_and_sanitary_hot_water_residential,56,182.73876935999698
HU32,Heating_and_sanitary_hot_water_residential,57,214.628031491866
HU32,Heating_and_sanitary_hot_water_residential,58,249.952835341948
HU32,Heating_and_sanitary_hot_water_residential,59,253.27953472682304
HU32,Heating_and_sanitary_hot_water_residential,60,243.15850301800305
HU32,Heating_and_sanitary_hot_water_residential,61,220.19414761915598
HU32,Heating_and_sanitary_hot_water_residential,62,205.03374092790298
HU32,Heating_and_sanitary_hot_water_residential,63,181.829578429026
HU32,Heating_and_sanitary_hot_water_residential,64,162.88498058618902
HU32,Heating_and_sanitary_hot_water_residential,65,157.754266047526
HU32,Heating_and_sanitary_hot_water_residential,66,167.720690904732
HU32,Heating_and_sanitary_hot_water_residential,67,185.766445564741
HU32,Heating_and_sanitary_hot_water_residential,68,193.95461770088198
HU32,Heating_and_sanitary_hot_water_residential,69,195.84959345026002
HU32,Heating_and_sanitary_hot_water_residential,70,197.259573613044
HU32,Heating_and_sanitary_hot_water_residential,71,188.437748866189
HU32,Heating_and_sanitary_hot_water_residential,72,174.271915652946
HU32,Heating_and_sanitary_hot_water_residential,73,218.558832320961
HU32,Heating_and_sanitary_hot_water_residential,74,211.490981158858
HU32,Heating_and_sanitary_hot_water_residential,75,208.09642668011296
HU32,Heating_and_sanitary_hot_water_residential,76,211.1281407929
HU32,Heating_and_sanitary_hot_water_residential,77,216.235579297556
HU32,Heating_and_sanitary_hot_water_residential,78,236.339093240343
