NUTS2_code,process,hour,load
ITI4,Heating_and_sanitary_hot_water_residential,1,151.970685660823
ITI4,Heating_and_sanitary_hot_water_residential,2,146.834719446488
ITI4,Heating_and_sanitary_hot_water_residential,3,141.550268708207
ITI4,Heating_and_sanitary_hot_water_residential,4,136.621942564488
ITI4,Heating_and_sanitary_hot_water_residential,5,137.230396538849
ITI4,Heating_and_sanitary_hot_water_residential,6,135.18941684587
ITI4,Heating_and_sanitary_hot_water_residential,7,141.379414709125
ITI4,Heating_and_sanitary_hot_water_residential,8,164.350582105157
ITI4,Heating_and_sanitary_hot_water_residential,9,201.594364499451
ITI4,Heating_and_sanitary_hot_water_residential,10,241.725369241766
ITI4,Heating_and_sanitary_hot_water_residential,11,243.69280161222
ITI4,Heating_and_sanitary_hot_water_residential,12,233.280089332901
ITI4,Heating_and_sanitary_hot_water_residential,13,206.027325000117
ITI4,Heating_and_sanitary_hot_water_residential,14,187.44303891667198
ITI4,Heating_and_sanitary_hot_water_residential,15,160.560517928325
ITI4,Heating_and_sanitary_hot_water_residential,16,139.927274452621
ITI4,Heating_and_sanitary_hot_water_residential,17,136.59435032732202
ITI4,Heating_and_sanitary_hot_water_residential,18,156.076354759725
ITI4,Heating_and_sanitary_hot_water_residential,19,181.748431517014
ITI4,Heating_and_sanitary_hot_water_residential,20,190.876928857854
ITI4,Heating_and_sanitary_hot_water_residential,21,190.935885840173
ITI4,Heating_and_sanitary_hot_water_residential,22,190.260422722582
ITI4,Heating_and_sanitary_hot_water_residential,23,178.70447391978504
ITI4,Heating_and_sanitary_hot_water_residential,24,164.18467355943199
ITI4,Heating_and_sanitary_hot_water_residential,25,153.22839225847602
ITI4,Heating_and_sanitary_hot_water_residential,26,140.414786499114
ITI4,Heating_and_sanitary_hot_water_residential,27,135.130286119745
ITI4,Heating_and_sanitary_hot_water_residential,28,134.053934636777
ITI4,Heating_and_sanitary_hot_water_residential,29,137.230396538849
ITI4,Heating_and_sanitary_hot_water_residential,30,140.325358239661
ITI4,Heating_and_sanitary_hot_water_residential,31,145.231364549332
ITI4,Heating_and_sanitary_hot_water_residential,32,164.350582105157
ITI4,Heating_and_sanitary_hot_water_residential,33,200.310149560973
ITI4,Heating_and_sanitary_hot_water_residential,34,223.74933856833096
ITI4,Heating_and_sanitary_hot_water_residential,35,215.44503707446603
ITI4,Heating_and_sanitary_hot_water_residential,36,192.19216105387198
ITI4,Heating_and_sanitary_hot_water_residential,37,181.631212456045
ITI4,Heating_and_sanitary_hot_water_residential,38,187.44303891667198
ITI4,Heating_and_sanitary_hot_water_residential,39,184.956630472397
ITI4,Heating_and_sanitary_hot_water_residential,40,191.28693659596803
ITI4,Heating_and_sanitary_hot_water_residential,41,209.781943343224
ITI4,Heating_and_sanitary_hot_water_residential,42,240.820144783862
ITI4,Heating_and_sanitary_hot_water_residential,43,256.219991265955
ITI4,Heating_and_sanitary_hot_water_residential,44,240.952376062724
ITI4,Heating_and_sanitary_hot_water_residential,45,207.62770157513
ITI4,Heating_and_sanitary_hot_water_residential,46,176.136540453706
ITI4,Heating_and_sanitary_hot_water_residential,47,158.16065870353398
ITI4,Heating_and_sanitary_hot_water_residential,48,155.214181526669
ITI4,Heating_and_sanitary_hot_water_residential,49,170.138401006315
ITI4,Heating_and_sanitary_hot_water_residential,50,165.00243479198
ITI4,Heating_and_sanitary_hot_water_residential,51,159.844148743598
ITI4,Heating_and_sanitary_hot_water_residential,52,154.78965790998
ITI4,Heating_and_sanitary_hot_water_residential,53,155.398111884341
ITI4,Heating_and_sanitary_hot_water_residential,54,153.73562626106002
ITI4,Heating_and_sanitary_hot_water_residential,55,159.547130054617
ITI4,Heating_and_sanitary_hot_water_residential,56,182.896791520347
ITI4,Heating_and_sanitary_hot_water_residential,57,219.635915155044
ITI4,Heating_and_sanitary_hot_water_residential,58,258.631437688265
ITI4,Heating_and_sanitary_hot_water_residential,59,259.211058469827
ITI4,Heating_and_sanitary_hot_water_residential,60,247.284369911717
ITI4,Heating_and_sanitary_hot_water_residential,61,219.148452749639
ITI4,Heating_and_sanitary_hot_water_residential,62,200.942660735892
ITI4,Heating_and_sanitary_hot_water_residential,63,174.94329257683899
ITI4,Heating_and_sanitary_hot_water_residential,64,154.688543170833
ITI4,Heating_and_sanitary_hot_water_residential,65,152.238771874829
ITI4,Heating_and_sanitary_hot_water_residential,66,172.98242320622398
ITI4,Heating_and_sanitary_hot_water_residential,67,199.78998217260602
ITI4,Heating_and_sanitary_hot_water_residential,68,210.18012641244
ITI4,Heating_and_sanitary_hot_water_residential,69,209.860589325061
ITI4,Heating_and_sanitary_hot_water_residential,70,209.942114346865
ITI4,Heating_and_sanitary_hot_water_residential,71,197.62917740467304
ITI4,Heating_and_sanitary_hot_water_residential,72,183.10937704431998
ITI4,Heating_and_sanitary_hot_water_residential,73,252.212530860114
ITI4,Heating_and_sanitary_hot_water_residential,74,230.592339340351
ITI4,Heating_and_sanitary_hot_water_residential,75,222.000391018373
ITI4,Heating_and_sanitary_hot_water_residential,76,217.76509100906898
ITI4,Heating_and_sanitary_hot_water_residential,77,222.329364500033
ITI4,Heating_and_sanitary_hot_water_residential,78,229.110302961913
