NUTS2_code,process,hour,load
SI03,Heating_and_sanitary_hot_water_residential,1,139.644390314448
SI03,Heating_and_sanitary_hot_water_residential,2,135.422745520945
SI03,Heating_and_sanitary_hot_water_residential,3,130.337516025388
SI03,Heating_and_sanitary_hot_water_residential,4,126.11491587367
SI03,Heating_and_sanitary_hot_water_residential,5,125.251290367797
SI03,Heating_and_sanitary_hot_water_residential,6,124.387685263833
SI03,Heating_and_sanitary_hot_water_residential,7,131.35952650404
SI03,Heating_and_sanitary_hot_water_residential,8,155.186375307327
SI03,Heating_and_sanitary_hot_water_residential,9,189.056971749432
SI03,Heating_and_sanitary_hot_water_residential,10,227.94878071465
SI03,Heating_and_sanitary_hot_water_residential,11,232.076931258393
SI03,Heating_and_sanitary_hot_water_residential,12,222.900630558304
SI03,Heating_and_sanitary_hot_water_residential,13,200.16363063897
SI03,Heating_and_sanitary_hot_water_residential,14,184.39741459208
SI03,Heating_and_sanitary_hot_water_residential,15,160.314620310478
SI03,Heating_and_sanitary_hot_water_residential,16,140.037556085415
SI03,Heating_and_sanitary_hot_water_residential,17,134.471317110776
SI03,Heating_and_sanitary_hot_water_residential,18,145.85567428259398
SI03,Heating_and_sanitary_hot_water_residential,19,164.339804629958
SI03,Heating_and_sanitary_hot_water_residential,20,171.629350772027
SI03,Heating_and_sanitary_hot_water_residential,21,172.363031616585
SI03,Heating_and_sanitary_hot_water_residential,22,172.745729251016
SI03,Heating_and_sanitary_hot_water_residential,23,163.05520196931005
SI03,Heating_and_sanitary_hot_water_residential,24,149.385445374638
SI03,Heating_and_sanitary_hot_water_residential,25,130.145709930975
SI03,Heating_and_sanitary_hot_water_residential,26,124.868633537186
SI03,Heating_and_sanitary_hot_water_residential,27,121.894206036471
SI03,Heating_and_sanitary_hot_water_residential,28,125.059484273384
SI03,Heating_and_sanitary_hot_water_residential,29,128.417503561015
SI03,Heating_and_sanitary_hot_water_residential,30,133.88638604921601
SI03,Heating_and_sanitary_hot_water_residential,31,155.633922860956
SI03,Heating_and_sanitary_hot_water_residential,32,191.070274444467
SI03,Heating_and_sanitary_hot_water_residential,33,216.497540495746
SI03,Heating_and_sanitary_hot_water_residential,34,214.22849634149296
SI03,Heating_and_sanitary_hot_water_residential,35,195.137233286589
SI03,Heating_and_sanitary_hot_water_residential,36,184.905745809133
SI03,Heating_and_sanitary_hot_water_residential,37,186.44334626581403
SI03,Heating_and_sanitary_hot_water_residential,38,180.175851406216
SI03,Heating_and_sanitary_hot_water_residential,39,181.42284427799598
SI03,Heating_and_sanitary_hot_water_residential,40,191.752725207743
SI03,Heating_and_sanitary_hot_water_residential,41,212.572072221149
