NUTS2_code,process,hour,load
UKC2,Heating_and_sanitary_hot_water_residential,1,180.075564036891
UKC2,Heating_and_sanitary_hot_water_residential,2,156.905893579187
UKC2,Heating_and_sanitary_hot_water_residential,3,147.195518441837
UKC2,Heating_and_sanitary_hot_water_residential,4,142.39735506275102
UKC2,Heating_and_sanitary_hot_water_residential,5,145.378867128903
UKC2,Heating_and_sanitary_hot_water_residential,6,152.044343378994
UKC2,Heating_and_sanitary_hot_water_residential,7,179.13233641015896
UKC2,Heating_and_sanitary_hot_water_residential,8,221.47327794354598
UKC2,Heating_and_sanitary_hot_water_residential,9,246.595824577205
UKC2,Heating_and_sanitary_hot_water_residential,10,240.993705082459
UKC2,Heating_and_sanitary_hot_water_residential,11,216.624504686884
UKC2,Heating_and_sanitary_hot_water_residential,12,199.22500488804297
UKC2,Heating_and_sanitary_hot_water_residential,13,189.749716762549
UKC2,Heating_and_sanitary_hot_water_residential,14,183.690660071386
UKC2,Heating_and_sanitary_hot_water_residential,15,181.88671851733898
UKC2,Heating_and_sanitary_hot_water_residential,16,175.637987159504
UKC2,Heating_and_sanitary_hot_water_residential,17,170.291019856716
UKC2,Heating_and_sanitary_hot_water_residential,18,166.217371382172
UKC2,Heating_and_sanitary_hot_water_residential,19,185.992692310571
UKC2,Heating_and_sanitary_hot_water_residential,20,200.94153533128602
UKC2,Heating_and_sanitary_hot_water_residential,21,219.03129429397
UKC2,Heating_and_sanitary_hot_water_residential,22,207.988100264174
UKC2,Heating_and_sanitary_hot_water_residential,23,210.53484128165297
UKC2,Heating_and_sanitary_hot_water_residential,24,194.865132383025
UKC2,Heating_and_sanitary_hot_water_residential,25,168.963883151706
UKC2,Heating_and_sanitary_hot_water_residential,26,155.252455825006
UKC2,Heating_and_sanitary_hot_water_residential,27,149.099291901581
UKC2,Heating_and_sanitary_hot_water_residential,28,146.733836664945
UKC2,Heating_and_sanitary_hot_water_residential,29,148.070578490642
UKC2,Heating_and_sanitary_hot_water_residential,30,152.452177859202
UKC2,Heating_and_sanitary_hot_water_residential,31,160.037883604958
UKC2,Heating_and_sanitary_hot_water_residential,32,187.83381052902197
UKC2,Heating_and_sanitary_hot_water_residential,33,231.691216105812
UKC2,Heating_and_sanitary_hot_water_residential,34,266.138552679921
UKC2,Heating_and_sanitary_hot_water_residential,35,263.443187123501
