NUTS2_code,process,hour,load
UKF3,Heating_and_sanitary_hot_water_residential,1,188.627641720248
UKF3,Heating_and_sanitary_hot_water_residential,2,166.061175736228
UKF3,Heating_and_sanitary_hot_water_residential,3,156.30047224446997
UKF3,Heating_and_sanitary_hot_water_residential,4,151.634453383985
UKF3,Heating_and_sanitary_hot_water_residential,5,155.019588770858
UKF3,Heating_and_sanitary_hot_water_residential,6,161.444077543164
UKF3,Heating_and_sanitary_hot_water_residential,7,188.763139537077
UKF3,Heating_and_sanitary_hot_water_residential,8,231.045566465689
UKF3,Heating_and_sanitary_hot_water_residential,9,256.733636483783
UKF3,Heating_and_sanitary_hot_water_residential,10,250.67483656378602
UKF3,Heating_and_sanitary_hot_water_residential,11,226.14300032527402
UKF3,Heating_and_sanitary_hot_water_residential,12,208.07658465396
UKF3,Heating_and_sanitary_hot_water_residential,13,197.31852891714803
UKF3,Heating_and_sanitary_hot_water_residential,14,190.438842540162
UKF3,Heating_and_sanitary_hot_water_residential,15,188.209708370648
UKF3,Heating_and_sanitary_hot_water_residential,16,181.59776353146302
UKF3,Heating_and_sanitary_hot_water_residential,17,176.070055620336
UKF3,Heating_and_sanitary_hot_water_residential,18,172.530442720443
UKF3,Heating_and_sanitary_hot_water_residential,19,192.69054642493802
UKF3,Heating_and_sanitary_hot_water_residential,20,207.974579646562
UKF3,Heating_and_sanitary_hot_water_residential,21,226.884968295068
UKF3,Heating_and_sanitary_hot_water_residential,22,216.69934926112305
UKF3,Heating_and_sanitary_hot_water_residential,23,219.771939602887
UKF3,Heating_and_sanitary_hot_water_residential,24,204.09231218922199
UKF3,Heating_and_sanitary_hot_water_residential,25,178.119165308747
UKF3,Heating_and_sanitary_hot_water_residential,26,164.35740962763902
UKF3,Heating_and_sanitary_hot_water_residential,27,158.33639022281602
UKF3,Heating_and_sanitary_hot_water_residential,28,156.3745583069
UKF3,Heating_and_sanitary_hot_water_residential,29,157.470312654812
UKF3,Heating_and_sanitary_hot_water_residential,30,162.082980986119
UKF3,Heating_and_sanitary_hot_water_residential,31,169.610172127101
UKF3,Heating_and_sanitary_hot_water_residential,32,197.9716224356
UKF3,Heating_and_sanitary_hot_water_residential,33,241.372347587138
UKF3,Heating_and_sanitary_hot_water_residential,34,275.657048318311
UKF3,Heating_and_sanitary_hot_water_residential,35,272.294766889418
UKF3,Heating_and_sanitary_hot_water_residential,36,248.169034493163
UKF3,Heating_and_sanitary_hot_water_residential,37,237.279458562299
UKF3,Heating_and_sanitary_hot_water_residential,38,243.07113711042703
UKF3,Heating_and_sanitary_hot_water_residential,39,236.459088910254
UKF3,Heating_and_sanitary_hot_water_residential,40,237.614805884894
UKF3,Heating_and_sanitary_hot_water_residential,41,251.45291423980495
UKF3,Heating_and_sanitary_hot_water_residential,42,275.623786066582
UKF3,Heating_and_sanitary_hot_water_residential,43,286.897412929384
UKF3,Heating_and_sanitary_hot_water_residential,44,269.715177958384
UKF3,Heating_and_sanitary_hot_water_residential,45,235.46815438139598
UKF3,Heating_and_sanitary_hot_water_residential,46,203.785612296518
UKF3,Heating_and_sanitary_hot_water_residential,47,185.43270795343602
UKF3,Heating_and_sanitary_hot_water_residential,48,179.3251527436
UKF3,Heating_and_sanitary_hot_water_residential,49,176.80978830479
UKF3,Heating_and_sanitary_hot_water_residential,50,171.041092915877
UKF3,Heating_and_sanitary_hot_water_residential,51,165.020125191548
UKF3,Heating_and_sanitary_hot_water_residential,52,159.04806779854098
UKF3,Heating_and_sanitary_hot_water_residential,53,157.470312654812
UKF3,Heating_and_sanitary_hot_water_residential,54,156.736039523578
UKF3,Heating_and_sanitary_hot_water_residential,55,165.599972490257
UKF3,Heating_and_sanitary_hot_water_residential,56,197.9716224356
UKF3,Heating_and_sanitary_hot_water_residential,57,242.70932197506
UKF3,Heating_and_sanitary_hot_water_residential,58,294.371588919554
UKF3,Heating_and_sanitary_hot_water_residential,59,301.70303537426
UKF3,Heating_and_sanitary_hot_water_residential,60,290.944979637448
UKF3,Heating_and_sanitary_hot_water_residential,61,262.67783749326304
UKF3,Heating_and_sanitary_hot_water_residential,62,243.07113711042703
UKF3,Heating_and_sanitary_hot_water_residential,63,211.06070997929
UKF3,Heating_and_sanitary_hot_water_residential,64,184.145132857009
UKF3,Heating_and_sanitary_hot_water_residential,65,175.258552654328
UKF3,Heating_and_sanitary_hot_water_residential,66,187.398463807112
UKF3,Heating_and_sanitary_hot_water_residential,67,209.36633535845695
UKF3,Heating_and_sanitary_hot_water_residential,68,217.58247931842098
UKF3,Heating_and_sanitary_hot_water_residential,69,218.090588168075
UKF3,Heating_and_sanitary_hot_water_residential,70,218.48974653893902
UKF3,Heating_and_sanitary_hot_water_residential,71,206.82052548409598
UKF3,Heating_and_sanitary_hot_water_residential,72,188.664179829728
UKF3,Heating_and_sanitary_hot_water_residential,73,188.627641720248
UKF3,Heating_and_sanitary_hot_water_residential,74,166.061175736228
UKF3,Heating_and_sanitary_hot_water_residential,75,156.30047224446997
UKF3,Heating_and_sanitary_hot_water_residential,76,151.634453383985
UKF3,Heating_and_sanitary_hot_water_residential,77,155.019588770858
UKF3,Heating_and_sanitary_hot_water_residential,78,161.444077543164
UKF3,Heating_and_sanitary_hot_water_residential,79,188.763139537077
UKF3,Heating_and_sanitary_hot_water_residential,80,231.045566465689
UKF3,Heating_and_sanitary_hot_water_residential,81,256.733636483783
UKF3,Heating_and_sanitary_hot_water_residential,82,250.67483656378602
UKF3,Heating_and_sanitary_hot_water_residential,83,226.14300032527402
UKF3,Heating_and_sanitary_hot_water_residential,84,208.07658465396
UKF3,Heating_and_sanitary_hot_water_residential,85,197.31852891714803
UKF3,Heating_and_sanitary_hot_water_residential,86,190.438842540162
